,trna.rep.1.tp.1,trna.rep.2.tp.1,trna.rep.3.tp.1,trna.rep.1.tp.2,trna.rep.2.tp.2,trna.rep.3.tp.2,trna.rep.1.tp.3,trna.rep.2.tp.3,trna.rep.3.tp.3,trna.rep.1.tp.4,trna.rep.2.tp.4,trna.rep.3.tp.4,rbf.rep.1.tp.1,rbf.rep.2.tp.1,rbf.rep.3.tp.1,rbf.rep.1.tp.2,rbf.rep.2.tp.2,rbf.rep.3.tp.2,rbf.rep.1.tp.3,rbf.rep.2.tp.3,rbf.rep.3.tp.3,rbf.rep.1.tp.4,rbf.rep.2.tp.4,rbf.rep.3.tp.4
VNG_0913H,36.4508,34.0828,31.8561,32.5835,29.0627,30.6789,31.3848,26.2454,19.1728,14.9275,15.4095,15.157,32.9089,30.1678,25.9997,35.8398,20.3574,31.1242,4.17346,13.989,8.5422,10.0643,5.14885,7.26481
VNG_0914H,54.8382,45.8479,46.612,38.9819,42.7197,44.2205,36.0705,28.0788,21.3313,19.9895,21.3379,22.6237,19.5565,8.9807,3.95253,10.3868,3.39156,6.53462,2.85241,3.07411,4.12562,1.56875,2.17911,4.08498
VNG_0915G,7.05162,6.60841,6.94284,8.54335,9.22336,8.40087,18.8112,17.4316,13.9896,18.4509,26.4204,19.541,18.5853,8.32696,6.45301,18.0201,9.65401,12.6253,4.87457,9.37995,7.92229,8.85167,5.17599,21.7451
VNG_0916G,8.90571,9.64297,9.668,7.99158,9.06483,9.92369,23.9441,5.27329,5.53627,4.82694,5.41859,7.94464,8.67236,3.67789,4.03863,6.85613,2.53392,2.51552,0.8928,2.73312,5.0391,1.72856,3.36086,2.74539
VNG_0917G,32.6322,25.1874,24.0556,21.2684,18.4001,21.6476,17.6888,9.06057,7.84481,9.7856,8.06314,8.5493,0,6.69951,3.03819,2.60048,7.10411,10.1315,0,2.19667,1.62256,0,4.2192,4.97502
VNG_0918H,108.64,141.395,132.2,119.122,136.947,149.688,165.01,292.235,152.062,153.832,182.083,136.146,15.4069,4.73005,5.87201,4.7439,8.40659,5.82696,2.61122,3.55752,3.27428,3.61063,0,0
VNG_0919G,66.7545,41.8043,42.4198,42.2815,52.3994,42.6436,23.7034,7.89868,6.29524,9.97148,10.5431,12.7767,17.7501,7.38631,8.53616,10.8423,7.75185,14.6898,0,1.50643,0,3.45158,4.39995,8.20726
VNG_0920H,35.5931,31.4785,32.6422,36.3039,36.89,36.3505,35.0594,25.0121,20.3434,24.3645,28.6139,27.4979,36.1221,18.7232,16.0114,27.516,21.6233,27.9476,6.64992,9.83172,5.0068,6.31155,8.11158,8.64845
VNG_0921G,182.924,142.796,152.018,189.761,184.723,171.07,83.838,117.851,89.8779,89.3443,104.277,94.4399,161.394,106.135,86.6741,171.132,94.4835,123.178,22.3411,38.1558,34.7162,23.9902,18.3329,31.3662
VNG_0923G,172.766,128.237,129.092,174.164,177.216,135.621,49.6941,48.0755,32.7211,37.8071,37.7045,37.6599,134.17,86.6891,77.5975,157.764,103.251,88.9139,14.8721,17.9806,18.4068,9.31518,9.76674,26.9676
